CMDLINE /usr/bin/python3 image_creation.py
MEM 0.539062 1698844723.4853
MEM 9.992188 1698844723.5856
MEM 19.574219 1698844723.6859
MEM 23.828125 1698844723.7863
MEM 41.089844 1698844723.8866
MEM 44.097656 1698844723.9869
MEM 49.800781 1698844724.0872
MEM 57.324219 1698844724.1875
MEM 68.335938 1698844724.2879
MEM 73.125000 1698844724.3882
MEM 78.281250 1698844724.4885
MEM 84.160156 1698844724.5889
MEM 90.851562 1698844724.6892
MEM 95.605469 1698844724.7898
MEM 104.636719 1698844724.8901
MEM 115.500000 1698844724.9905
MEM 118.859375 1698844725.0908
